"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"294" 355 167 43 "M" 3 -0.137386 0 4
"295" 356 167 207 "M" 3 1.099323 0 4
"296" 357 167 97 "F" 3 2.166765 0 4
"297" 358 253 32 "F" 3 -0.633147 0 4
"298" 359 253 88 "M" 3 1.591826 0 4
"299" 360 253 73 "F" 3 1.84264 0 4
"300" 361 253 30 "F" 3 0.476364 0 4
"301" 362 209 284 "F" 3 0.38003 0 4
"302" 363 209 260 "M" 3 -0.603844 0 4
"303" 364 209 39 "F" 3 -0.400619 0 4
"304" 365 209 225 "M" 3 0.502651 0 4
"305" 366 222 52 "M" 3 -1.161394 0 4
"306" 367 222 223 "M" 3 0.433383 0 4
"307" 368 222 268 "F" 3 2.201363 0 4
"308" 369 222 94 "F" 3 1.253752 0 4
"309" 370 164 179 "F" 3 -0.357718 0 4
"310" 371 164 51 "F" 3 0.073401 0 4
"311" 372 164 236 "M" 3 0.950776 0 4
"312" 373 164 184 "M" 3 0.569258 0 4
"313" 374 16 221 "M" 3 2.185556 0 4
"314" 375 16 174 "M" 3 0.011986 0 4
"315" 376 16 45 "F" 3 1.609372 0 4
"316" 377 16 90 "M" 3 2.119236 0 4
"317" 378 18 83 "M" 3 1.143058 0 4
"318" 379 18 77 "M" 3 -0.770335 0 4
"319" 380 18 26 "F" 3 -0.1648 0 4
"320" 381 18 40 "F" 3 -0.007895 0 4
"321" 382 169 28 "M" 3 1.471278 0 4
"322" 383 169 86 "M" 3 0.435453 0 4
"323" 384 169 50 "F" 3 2.571302 0 4
"324" 385 169 78 "M" 3 2.66585 0 4
"325" 386 177 71 "M" 3 0.724457 0 4
"326" 387 177 85 "F" 3 0.448179 0 4
"327" 388 177 81 "F" 3 0.562062 0 4
"328" 389 177 54 "M" 3 2.249978 0 4
"329" 390 8 37 "M" 3 -1.708399 0 4
"330" 391 8 25 "M" 3 1.072418 0 4
"331" 392 8 63 "F" 3 1.817357 0 4
"332" 393 8 65 "F" 3 0.803795 0 4
"333" 394 17 89 "F" 3 -0.995447 0 4
"334" 395 17 62 "M" 3 -2.378742 0 4
"335" 396 17 55 "F" 3 0.753068 0 4
"336" 397 17 99 "F" 3 -0.060928 0 4
"337" 398 200 91 "F" 3 -0.403683 0 4
"338" 399 200 79 "M" 3 1.094436 0 4
"339" 400 200 60 "F" 3 1.135341 0 4
"340" 401 200 48 "M" 3 -0.587912 0 4
"362" 101 0 0 "F" 0 0.807997 1 4
"364" 102 0 0 "F" 0 -0.115397 1 4
"365" 103 0 0 "F" 0 0.107269 1 4
"366" 104 0 0 "F" 0 -1.612072 1 4
"367" 105 0 0 "F" 0 -0.912822 1 4
"368" 106 0 0 "F" 0 0.089084 1 4
"370" 107 0 0 "F" 0 -0.362938 1 4
"371" 108 0 0 "F" 0 0.462629 1 4
"372" 109 0 0 "F" 0 -1.247293 1 4
"373" 110 0 0 "F" 0 0.179491 1 4
"374" 111 0 0 "F" 0 -0.731351 1 4
"375" 112 0 0 "F" 0 -1.820967 1 4
"376" 113 0 0 "F" 0 -1.817687 1 4
"377" 114 0 0 "F" 0 2.368096 1 4
"378" 115 0 0 "F" 0 -0.518971 1 4
"379" 116 0 0 "F" 0 -1.811849 1 4
"380" 117 0 0 "F" 0 -0.705523 1 4
"381" 118 0 0 "F" 0 -0.250969 1 4
"382" 119 0 0 "F" 0 1.214755 1 4
"383" 120 0 0 "F" 0 0.853315 1 4
"387" 121 0 0 "F" 0 -0.108904 1 4
"389" 122 0 0 "F" 0 0.42105 1 4
"390" 123 0 0 "F" 0 -1.585157 1 4
"391" 124 0 0 "F" 0 -2.506819 1 4
"397" 125 0 0 "F" 0 1.214933 1 4
"398" 126 0 0 "F" 0 0.375093 1 4
"399" 127 0 0 "F" 0 -0.696374 1 4
"400" 128 0 0 "F" 0 0.398435 1 4
